old_filename	new_filename
WhatsApp Image 2026-05-15 at 15.26.34 (1).jpeg	domestic-interior-sage-green-kitchen-01.jpeg
WhatsApp Image 2026-05-15 at 15.26.34.jpeg	domestic-interior-sage-green-kitchen-02.jpeg
WhatsApp Image 2026-05-15 at 15.26.35 (1).jpeg	commercial-exterior-senior-cars-showroom-01.jpeg
WhatsApp Image 2026-05-15 at 15.26.35.jpeg	commercial-exterior-wellness-studio-shopfront.jpeg
WhatsApp Image 2026-05-15 at 15.26.36 (1).jpeg	commercial-interior-vaulted-empty-room.jpeg
WhatsApp Image 2026-05-15 at 15.26.36.jpeg	commercial-interior-sculpt-and-form-reception.jpeg
WhatsApp Image 2026-05-15 at 15.26.37 (1).jpeg	domestic-exterior-white-rendered-cottage.jpeg
WhatsApp Image 2026-05-15 at 15.26.37.jpeg	domestic-interior-two-tone-shaker-kitchen.jpeg
WhatsApp Image 2026-05-15 at 15.26.38 (1).jpeg	commercial-interior-school-assembly-hall.jpeg
WhatsApp Image 2026-05-15 at 15.26.38.jpeg	commercial-interior-classroom-stripped-back.jpeg
WhatsApp Image 2026-05-15 at 15.26.39 (1).jpeg	commercial-exterior-gsf-car-parts-warehouse.jpeg
WhatsApp Image 2026-05-15 at 15.26.39.jpeg	commercial-interior-arched-corridor.jpeg
WhatsApp Image 2026-05-15 at 15.26.40 (1).jpeg	domestic-exterior-white-pebbledash-frontage.jpeg
WhatsApp Image 2026-05-15 at 15.26.40.jpeg	commercial-interior-warehouse-epoxy-floor-01.jpeg
WhatsApp Image 2026-05-15 at 15.26.41.jpeg	commercial-exterior-school-blue-ramp-01.jpeg
WhatsApp Image 2026-05-15 at 15.26.42 (1).jpeg	commercial-exterior-school-blue-ramp-02.jpeg
WhatsApp Image 2026-05-15 at 15.26.42.jpeg	commercial-exterior-school-blue-ramp-03.jpeg
WhatsApp Image 2026-05-15 at 15.26.43 (1).jpeg	commercial-exterior-blue-steel-canopy.jpeg
WhatsApp Image 2026-05-15 at 15.26.43 (2).jpeg	commercial-interior-white-stairwell-01.jpeg
WhatsApp Image 2026-05-15 at 15.26.43.jpeg	commercial-exterior-senior-cars-totem-sign.jpeg
WhatsApp Image 2026-05-15 at 15.26.46 (1).jpeg	commercial-interior-warehouse-stairwell.jpeg
WhatsApp Image 2026-05-15 at 15.26.46 (2).jpeg	commercial-interior-office-breakout-area.jpeg
WhatsApp Image 2026-05-15 at 15.26.46 (3).jpeg	commercial-interior-open-plan-office.jpeg
WhatsApp Image 2026-05-15 at 15.26.46.jpeg	commercial-interior-corridor-wall-graphic.jpeg
WhatsApp Image 2026-05-15 at 15.26.47.jpeg	commercial-interior-warehouse-epoxy-floor-02.jpeg
WhatsApp Image 2026-05-15 at 15.26.48 (1).jpeg	domestic-interior-grey-shaker-kitchen.jpeg
WhatsApp Image 2026-05-15 at 15.26.48.jpeg	domestic-interior-hallway-and-staircase.jpeg
WhatsApp Image 2026-05-15 at 15.26.49 (1).jpeg	commercial-exterior-gsf-red-shutters-detail.jpeg
WhatsApp Image 2026-05-15 at 15.26.49.jpeg	domestic-interior-new-build-living-room.jpeg
WhatsApp Image 2026-05-15 at 15.26.50.jpeg	commercial-exterior-gsf-red-shutters.jpeg
WhatsApp Image 2026-05-15 at 15.26.51.jpeg	domestic-interior-marble-living-room-tv-wall.jpeg
WhatsApp Image 2026-05-15 at 15.26.52 (1).jpeg	commercial-interior-stained-glass-vestibule.jpeg
WhatsApp Image 2026-05-15 at 15.26.52.jpeg	domestic-exterior-grey-garage-and-door.jpeg
WhatsApp Image 2026-05-15 at 15.30.05 (1).jpeg	commercial-exterior-blue-railings-01.jpeg
WhatsApp Image 2026-05-15 at 15.30.05 (2).jpeg	domestic-interior-geometric-feature-wall.jpeg
WhatsApp Image 2026-05-15 at 15.30.05 (3).jpeg	commercial-exterior-blue-palisade-fence.jpeg
WhatsApp Image 2026-05-15 at 15.30.05 (4).jpeg	commercial-exterior-blue-railings-02.jpeg
WhatsApp Image 2026-05-15 at 15.30.05.jpeg	commercial-exterior-blue-railings-park.jpeg
WhatsApp Image 2026-05-15 at 15.30.06 (1).jpeg	commercial-interior-navy-accent-office.jpeg
WhatsApp Image 2026-05-15 at 15.30.06 (2).jpeg	domestic-exterior-white-terrace-cottage.jpeg
WhatsApp Image 2026-05-15 at 15.30.06 (3).jpeg	commercial-exterior-senior-cars-showroom-02.jpeg
WhatsApp Image 2026-05-15 at 15.30.06 (4).jpeg	commercial-exterior-blue-roller-door-unit.jpeg
WhatsApp Image 2026-05-15 at 15.30.06 (5).jpeg	commercial-interior-navy-office-corridor-01.jpeg
WhatsApp Image 2026-05-15 at 15.30.06 (6).jpeg	commercial-interior-navy-breakout-area-01.jpeg
WhatsApp Image 2026-05-15 at 15.30.06 (7).jpeg	commercial-interior-navy-office-corridor-02.jpeg
WhatsApp Image 2026-05-15 at 15.30.06.jpeg	commercial-interior-white-stairwell-02.jpeg
WhatsApp Image 2026-05-15 at 15.30.07 (1).jpeg	commercial-exterior-black-external-staircase-01.jpeg
WhatsApp Image 2026-05-15 at 15.30.07 (2).jpeg	commercial-exterior-black-arched-gates.jpeg
WhatsApp Image 2026-05-15 at 15.30.07 (3).jpeg	commercial-interior-navy-breakout-area-02.jpeg
WhatsApp Image 2026-05-15 at 15.30.07 (4).jpeg	commercial-exterior-black-railings-brick-wall.jpeg
WhatsApp Image 2026-05-15 at 15.30.07 (5).jpeg	commercial-exterior-black-external-staircase-02.jpeg
WhatsApp Image 2026-05-15 at 15.30.07.jpeg	commercial-interior-carpeted-stairwell.jpeg
WhatsApp Image 2026-05-15 at 15.30.08 (1).jpeg	commercial-exterior-clad-unit-staircase.jpeg
WhatsApp Image 2026-05-15 at 15.30.08.jpeg	commercial-exterior-clad-unit-detail.jpeg
WhatsApp Image 2026-05-15 at 20.13.22.jpeg	commercial-interior-factory-mezzanine-office.jpeg
WhatsApp Image 2026-05-15 at 20.13.22 (1).jpeg	domestic-interior-classic-kitchen-island-detail-01.jpeg
WhatsApp Image 2026-05-15 at 20.13.22 (2).jpeg	commercial-exterior-green-roller-shutter-01.jpeg
WhatsApp Image 2026-05-15 at 20.13.22 (3).jpeg	domestic-interior-classic-kitchen-rangehood.jpeg
WhatsApp Image 2026-05-15 at 20.13.22 (4).jpeg	domestic-interior-classic-kitchen-cabinet-detail.jpeg
WhatsApp Image 2026-05-15 at 20.13.22 (5).jpeg	domestic-interior-classic-kitchen-rangecooker.jpeg
WhatsApp Image 2026-05-15 at 20.13.22 (6).jpeg	commercial-interior-factory-cmm-floor.jpeg
WhatsApp Image 2026-05-15 at 20.13.22 (7).jpeg	commercial-interior-cream-wall-green-column.jpeg
WhatsApp Image 2026-05-15 at 20.13.23.jpeg	domestic-exterior-period-white-house-front.jpeg
WhatsApp Image 2026-05-15 at 20.13.23 (1).jpeg	domestic-exterior-period-white-house-rear.jpeg
WhatsApp Image 2026-05-15 at 20.13.23 (2).jpeg	commercial-interior-yellow-accent-reception.jpeg
WhatsApp Image 2026-05-15 at 20.13.23 (3).jpeg	commercial-interior-yellow-staircase.jpeg
WhatsApp Image 2026-05-15 at 20.13.23 (4).jpeg	commercial-interior-yellow-accent-office.jpeg
WhatsApp Image 2026-05-15 at 20.13.23 (5).jpeg	commercial-interior-grey-fire-doors.jpeg
WhatsApp Image 2026-05-15 at 20.13.23 (6).jpeg	commercial-interior-yellow-stair-landing.jpeg
